task_uid,task_type,prompt_length_chars,negative_prompt_length_chars,steps,num_images,lora_count
pool02-task021,TXT_2_IMG,43,26,30,1,0
pool02-task022,TXT_2_IMG,62,26,30,1,0
pool02-task023,TXT_2_IMG,59,26,30,1,0
pool02-task024,TXT_2_IMG,52,26,30,1,0
pool02-task025,TXT_2_IMG,43,0,30,4,1
pool02-task026,TXT_2_IMG,54,28,30,1,0
pool02-task027,TXT_2_IMG,51,26,30,8,0
pool02-task028,TXT_2_IMG,69,26,30,1,0
pool02-task029,IMG_2_IMG,4,0,30,1,0
pool02-task030,IMG_2_IMG,4,0,30,1,0
pool02-task031,IMG_2_IMG,4,0,30,1,0
pool02-task032,IMG_2_IMG,4,0,30,1,0
pool02-task033,TXT_2_IMG,51,26,30,1,0
pool02-task034,IMG_2_IMG,54,26,30,1,0
pool02-task035,TXT_2_IMG,46,26,30,4,0
pool02-task036,IMG_2_IMG,43,26,30,2,0
pool02-task037,TXT_2_IMG,25,0,30,8,1
pool02-task038,TXT_2_IMG,5,26,30,1,0
pool02-task039,IMG_2_IMG,169,0,30,1,0
pool02-task040,TXT_2_IMG,48,26,30,1,0
pool02-task041,TXT_2_IMG,97,26,40,8,0
pool02-task042,TXT_2_IMG,85,26,30,2,0
pool02-task043,IMG_2_IMG,39,26,30,1,0
pool02-task044,TXT_2_IMG,6,26,30,1,0
pool02-task045,TXT_2_IMG,31,0,30,4,1
pool02-task046,TXT_2_IMG,28,0,30,8,1
pool02-task047,TXT_2_IMG,11,0,30,8,1
pool02-task048,INPAINTING,72,26,30,1,0
pool02-task049,TXT_2_IMG,55,26,30,4,0
pool02-task050,TXT_2_IMG,54,26,30,4,1
pool02-task051,TXT_2_IMG,64,26,30,1,0
pool02-task052,TXT_2_IMG,65,26,30,1,0
pool02-task053,TXT_2_IMG,1,26,30,8,0
pool02-task054,TXT_2_IMG,7,26,30,8,0
pool02-task055,TXT_2_IMG,6,26,30,8,0
pool02-task056,TXT_2_IMG,76,26,30,1,0
pool02-task057,TXT_2_IMG,71,26,30,4,0
pool02-task058,TXT_2_IMG,60,26,30,1,0
pool02-task059,TXT_2_IMG,60,26,30,1,0
pool02-task060,TXT_2_IMG,31,0,30,1,1
pool02-task061,TXT_2_IMG,73,26,30,4,0
pool02-task062,TXT_2_IMG,45,26,30,1,0
pool02-task063,TXT_2_IMG,85,0,30,8,0
pool02-task064,TXT_2_IMG,17,0,30,8,1
pool02-task065,TXT_2_IMG,100,0,30,4,0
pool02-task066,TXT_2_IMG,24,26,40,2,0
pool02-task067,TXT_2_IMG,60,26,30,1,0
pool02-task068,TXT_2_IMG,65,26,30,1,0
pool02-task069,TXT_2_IMG,109,0,30,1,0
pool02-task070,TXT_2_IMG,85,0,30,8,0
pool02-task071,TXT_2_IMG,57,26,30,1,0
pool02-task072,TXT_2_IMG,13,0,30,1,0
pool02-task073,TXT_2_IMG,13,0,30,1,0
pool02-task074,TXT_2_IMG,28,0,30,1,1
pool02-task075,TXT_2_IMG,75,26,30,1,0
pool02-task076,TXT_2_IMG,54,26,30,8,4
pool02-task077,TXT_2_IMG,51,26,30,1,0
pool02-task078,IMG_2_IMG,20,26,30,1,0
pool02-task079,IMG_2_IMG,20,26,30,1,0
pool02-task080,IMG_2_IMG,9,26,30,1,0
pool02-task081,IMG_2_IMG,27,26,30,1,0
pool02-task082,TXT_2_IMG,13,26,30,4,0
pool02-task083,IMG_2_IMG,72,26,30,1,0
pool02-task084,IMG_2_IMG,57,26,30,1,0
pool02-task085,IMG_2_IMG,57,26,30,1,0
pool02-task086,TXT_2_IMG,1,26,30,4,0
pool02-task087,TXT_2_IMG,58,26,30,1,0
pool02-task088,IMG_2_IMG,56,26,30,1,0
pool02-task089,IMG_2_IMG,24,26,30,1,0
pool02-task090,TXT_2_IMG,3,26,30,4,0
pool02-task091,TXT_2_IMG,1,26,30,4,0
pool02-task092,TXT_2_IMG,2,26,30,4,0
pool02-task093,TXT_2_IMG,34,28,30,1,0
pool02-task094,TXT_2_IMG,50,28,30,8,0
pool02-task095,TXT_2_IMG,67,26,30,1,0
pool02-task096,TXT_2_IMG,9,26,30,4,0
pool02-task097,TXT_2_IMG,63,26,44,2,1
pool02-task098,IMG_2_IMG,4,28,30,1,0
pool02-task099,IMG_2_IMG,2,28,30,1,0
pool03-task000,TXT_2_IMG,49,0,30,4,1
pool03-task001,IMG_2_IMG,7,0,30,8,1
pool03-task002,TXT_2_IMG,30,26,40,8,0
pool03-task003,IMG_2_IMG,104,0,30,1,1
pool03-task004,TXT_2_IMG,2,26,40,1,0
pool03-task005,IMG_2_IMG,7,0,30,8,1
pool03-task006,TXT_2_IMG,49,26,30,1,0
pool03-task007,TXT_2_IMG,40,26,30,1,0
pool03-task008,TXT_2_IMG,70,26,30,4,0
pool03-task009,TXT_2_IMG,39,26,30,1,0
pool03-task010,TXT_2_IMG,91,26,30,1,0
pool03-task011,TXT_2_IMG,19,26,40,4,0
pool03-task012,IMG_2_IMG,34,0,30,4,0
pool03-task013,TXT_2_IMG,21,26,30,1,0
pool03-task014,TXT_2_IMG,8,0,30,8,1
pool03-task015,TXT_2_IMG,61,26,30,1,0
pool03-task016,TXT_2_IMG,58,26,30,8,0
pool03-task017,TXT_2_IMG,51,26,30,8,0
pool03-task018,TXT_2_IMG,2,0,30,1,0
pool03-task019,TXT_2_IMG,5,26,40,1,0
pool03-task020,TXT_2_IMG,47,26,30,1,0
pool03-task021,TXT_2_IMG,44,26,30,2,0
pool03-task022,TXT_2_IMG,48,26,30,1,0
pool03-task023,TXT_2_IMG,42,26,30,1,0
pool03-task024,TXT_2_IMG,57,26,30,1,0
pool03-task025,INPAINTING,0,0,30,4,0
pool03-task026,TXT_2_IMG,62,26,30,1,0
pool03-task027,TXT_2_IMG,10,26,40,1,0
pool03-task028,IMG_2_IMG,24,26,30,1,0
pool03-task029,IMG_2_IMG,76,0,30,4,0
pool03-task030,INPAINTING,35,0,30,8,0
pool03-task031,IMG_2_IMG,100,0,30,8,3
pool03-task032,TXT_2_IMG,47,26,30,4,0
pool03-task033,TXT_2_IMG,65,26,30,4,0
pool03-task034,TXT_2_IMG,64,26,30,1,0
pool03-task035,IMG_2_IMG,112,0,30,8,3
pool03-task036,TXT_2_IMG,142,0,30,8,3
pool03-task037,IMG_2_IMG,142,0,30,8,3
pool03-task038,TXT_2_IMG,56,26,30,8,0
pool03-task039,TXT_2_IMG,67,26,30,1,1
pool03-task040,TXT_2_IMG,62,26,30,1,0
pool03-task041,TXT_2_IMG,48,26,53,1,0
pool03-task042,TXT_2_IMG,51,26,30,1,0
pool03-task043,TXT_2_IMG,71,26,30,1,0
pool03-task044,TXT_2_IMG,44,26,30,1,0
pool03-task045,IMG_2_IMG,119,0,30,3,0
pool03-task046,TXT_2_IMG,64,26,30,8,0
pool03-task047,TXT_2_IMG,60,26,30,2,0
pool03-task048,TXT_2_IMG,13,26,30,2,0
pool03-task049,TXT_2_IMG,63,0,30,1,0
pool03-task050,TXT_2_IMG,207,0,30,1,1
pool03-task051,TXT_2_IMG,9,26,40,2,0
pool03-task052,TXT_2_IMG,25,26,76,8,0
pool03-task053,IMG_2_IMG,3,0,30,1,0
pool03-task054,IMG_2_IMG,30,64,30,1,0
pool03-task055,TXT_2_IMG,115,0,30,1,0
pool03-task056,TXT_2_IMG,85,26,30,1,0
pool03-task057,TXT_2_IMG,4,26,30,1,0
pool03-task058,TXT_2_IMG,52,26,30,2,0
pool03-task059,IMG_2_IMG,1,62,30,1,0
pool03-task060,IMG_2_IMG,1,62,30,1,0
pool03-task061,TXT_2_IMG,65,26,30,4,0
pool03-task062,TXT_2_IMG,45,0,30,8,1
pool03-task063,IMG_2_IMG,6,0,30,1,0
pool03-task064,IMG_2_IMG,2,62,30,1,0
pool03-task065,TXT_2_IMG,36,62,30,1,0
pool03-task066,TXT_2_IMG,36,62,30,1,0
pool03-task067,TXT_2_IMG,23,0,30,8,1
pool03-task068,TXT_2_IMG,14,26,40,2,0
pool03-task069,IMG_2_IMG,67,3,30,1,2
pool03-task070,TXT_2_IMG,48,26,30,1,0
pool03-task071,TXT_2_IMG,53,26,30,1,0
pool03-task072,IMG_2_IMG,62,26,30,1,0
pool03-task073,IMG_2_IMG,63,26,30,1,0
pool03-task074,TXT_2_IMG,49,26,30,1,0
pool03-task075,TXT_2_IMG,48,26,30,1,0
pool03-task076,TXT_2_IMG,56,26,30,4,0
pool03-task077,TXT_2_IMG,5,26,30,1,0
pool03-task078,TXT_2_IMG,56,26,30,8,0
pool03-task079,IMG_2_IMG,90,26,30,4,1
pool03-task080,TXT_2_IMG,59,26,30,1,0
pool03-task081,TXT_2_IMG,46,26,30,1,0
pool03-task082,TXT_2_IMG,266,26,30,1,0
pool03-task083,TXT_2_IMG,61,28,30,1,0
pool03-task084,TXT_2_IMG,13,28,30,1,0
pool03-task085,TXT_2_IMG,61,26,30,1,0
pool03-task086,TXT_2_IMG,57,26,30,1,0
pool03-task087,TXT_2_IMG,76,28,30,1,0
pool03-task088,TXT_2_IMG,74,28,30,1,0
pool03-task089,TXT_2_IMG,35,26,30,1,0
pool03-task090,TXT_2_IMG,74,28,30,1,0
pool03-task091,TXT_2_IMG,52,26,30,1,0
pool03-task092,TXT_2_IMG,63,26,30,1,0
pool03-task093,TXT_2_IMG,49,26,30,1,0
pool03-task094,TXT_2_IMG,58,26,30,2,0
pool03-task095,TXT_2_IMG,9,26,30,1,0
pool03-task096,TXT_2_IMG,11,26,30,1,0
pool03-task097,TXT_2_IMG,57,26,30,2,0
pool03-task098,TXT_2_IMG,62,26,30,1,0
pool03-task099,TXT_2_IMG,19,26,30,1,0
pool04-task000,TXT_2_IMG,59,26,30,1,0
pool04-task001,TXT_2_IMG,51,26,30,8,0
pool04-task002,IMG_2_IMG,54,0,30,1,0
pool04-task003,IMG_2_IMG,51,0,30,1,0
pool04-task004,TXT_2_IMG,16,26,30,1,0
pool04-task005,TXT_2_IMG,52,26,30,4,0
pool04-task006,TXT_2_IMG,47,26,30,1,0
pool04-task007,IMG_2_IMG,70,0,30,1,0
pool04-task008,TXT_2_IMG,22,26,30,1,0
pool04-task009,TXT_2_IMG,71,0,30,1,0
pool04-task010,TXT_2_IMG,44,26,30,4,0
pool04-task011,TXT_2_IMG,56,26,30,2,0
pool04-task012,IMG_2_IMG,12,0,30,1,0
pool04-task013,IMG_2_IMG,56,0,30,1,0
pool04-task014,TXT_2_IMG,4,26,30,1,1
pool04-task015,INPAINTING,51,0,30,1,0
pool04-task016,TXT_2_IMG,7,26,30,1,0
pool04-task017,TXT_2_IMG,66,26,40,8,0
pool04-task018,TXT_2_IMG,54,26,30,8,0
pool04-task019,TXT_2_IMG,50,26,30,8,0
pool04-task020,IMG_2_IMG,13,0,30,1,0
pool04-task021,IMG_2_IMG,86,17,30,1,0
pool04-task022,IMG_2_IMG,20,28,30,1,0
pool04-task023,TXT_2_IMG,39,26,30,1,0
pool04-task024,TXT_2_IMG,42,26,30,1,0
pool04-task025,TXT_2_IMG,53,26,30,1,0
pool04-task026,TXT_2_IMG,64,26,30,2,0
pool04-task027,TXT_2_IMG,55,26,30,1,0
pool04-task028,TXT_2_IMG,59,26,30,1,1
pool04-task029,TXT_2_IMG,5,26,40,2,0
pool04-task030,TXT_2_IMG,49,26,30,2,0
pool04-task031,IMG_2_IMG,28,0,30,1,0
pool04-task032,TXT_2_IMG,33,26,30,1,0
pool04-task033,IMG_2_IMG,52,0,30,1,1
pool04-task034,IMG_2_IMG,20,26,30,1,0
pool04-task035,IMG_2_IMG,52,0,30,1,1
pool04-task036,TXT_2_IMG,81,26,30,1,0
pool04-task037,IMG_2_IMG,72,26,30,8,0
pool04-task038,IMG_2_IMG,247,26,30,1,0
pool04-task039,TXT_2_IMG,248,26,30,1,0
pool04-task040,TXT_2_IMG,63,26,30,1,0
pool04-task041,TXT_2_IMG,50,26,30,4,0
pool04-task042,TXT_2_IMG,35,26,30,1,0
pool04-task043,TXT_2_IMG,57,26,30,1,0
pool04-task044,TXT_2_IMG,92,0,30,8,1
pool04-task045,TXT_2_IMG,211,0,30,8,1
pool04-task046,TXT_2_IMG,8,26,35,1,0
pool04-task047,TXT_2_IMG,59,0,30,8,1
pool04-task048,IMG_2_IMG,17,26,30,1,0
pool04-task049,TXT_2_IMG,46,26,30,1,0
pool04-task050,TXT_2_IMG,50,26,30,1,0
pool04-task051,TXT_2_IMG,32,26,40,4,0
pool04-task052,IMG_2_IMG,619,0,30,1,0
pool04-task053,TXT_2_IMG,57,26,30,1,0
pool04-task054,TXT_2_IMG,62,26,30,4,0
pool04-task055,TXT_2_IMG,36,26,30,1,0
pool04-task056,TXT_2_IMG,72,26,30,4,0
pool04-task057,TXT_2_IMG,73,0,30,1,0
pool04-task058,TXT_2_IMG,46,26,30,4,0
pool04-task059,TXT_2_IMG,103,0,30,8,1
pool04-task060,TXT_2_IMG,497,42,30,1,0
pool04-task061,TXT_2_IMG,66,26,30,8,0
pool04-task062,TXT_2_IMG,40,0,30,1,1
pool04-task063,TXT_2_IMG,2,26,40,8,0
pool04-task064,TXT_2_IMG,62,26,30,8,0
pool04-task065,TXT_2_IMG,36,26,30,1,0
pool04-task066,TXT_2_IMG,61,26,30,4,0
pool04-task067,TXT_2_IMG,60,26,30,2,0
pool04-task068,IMG_2_IMG,22,26,30,1,0
pool04-task069,TXT_2_IMG,51,26,30,8,0
pool04-task070,TXT_2_IMG,31,0,30,4,1
pool04-task071,TXT_2_IMG,48,26,30,1,0
pool04-task072,TXT_2_IMG,82,0,40,1,0
pool04-task073,TXT_2_IMG,32,0,30,4,1
pool04-task074,TXT_2_IMG,45,38,28,2,1
pool04-task075,TXT_2_IMG,41,26,30,1,0
pool04-task076,TXT_2_IMG,81,26,30,1,0
pool04-task077,IMG_2_IMG,18,26,30,1,0
pool04-task078,TXT_2_IMG,38,26,30,1,0
pool04-task079,TXT_2_IMG,50,26,30,1,0
pool04-task080,TXT_2_IMG,42,26,30,1,0
pool04-task081,TXT_2_IMG,41,26,30,8,0
pool04-task082,IMG_2_IMG,24,0,30,8,1
pool04-task083,INPAINTING,2,0,30,4,0
pool04-task084,IMG_2_IMG,42,26,30,1,0
pool04-task085,IMG_2_IMG,49,26,30,1,0
pool04-task086,TXT_2_IMG,74,0,30,4,1
pool04-task087,TXT_2_IMG,40,26,30,1,0
pool04-task088,TXT_2_IMG,65,26,30,4,0
pool04-task089,TXT_2_IMG,63,26,30,1,0
pool04-task090,TXT_2_IMG,309,26,30,1,0
pool04-task091,TXT_2_IMG,60,26,30,1,0
pool04-task092,TXT_2_IMG,47,26,30,8,0
pool04-task093,TXT_2_IMG,46,26,30,1,0
pool04-task094,TXT_2_IMG,77,26,30,4,0
pool04-task095,TXT_2_IMG,87,26,30,4,0
pool04-task096,TXT_2_IMG,3,0,30,1,0
pool04-task097,TXT_2_IMG,44,0,30,8,1
pool04-task098,TXT_2_IMG,48,26,30,1,0
pool04-task099,TXT_2_IMG,69,26,30,1,0
pool05-task000,TXT_2_IMG,53,26,30,1,0
pool05-task001,TXT_2_IMG,57,26,30,1,0
pool05-task002,IMG_2_IMG,12,26,30,1,0
pool05-task003,TXT_2_IMG,79,26,30,1,0
pool05-task004,TXT_2_IMG,65,26,30,1,0
pool05-task005,TXT_2_IMG,17,26,30,1,0
pool05-task006,TXT_2_IMG,53,26,30,2,0
pool05-task007,TXT_2_IMG,48,26,100,8,2
pool05-task008,TXT_2_IMG,49,26,40,1,0
pool05-task009,TXT_2_IMG,87,26,30,1,0
pool05-task010,TXT_2_IMG,83,26,30,1,0
pool05-task011,TXT_2_IMG,226,26,30,1,0
pool05-task012,TXT_2_IMG,255,26,30,1,1
pool05-task013,TXT_2_IMG,163,26,30,1,0
pool05-task014,TXT_2_IMG,53,26,30,1,0
pool05-task015,TXT_2_IMG,263,26,30,1,0
pool05-task016,TXT_2_IMG,47,26,30,1,0
pool05-task017,TXT_2_IMG,52,26,30,1,0
pool05-task018,TXT_2_IMG,49,26,30,1,0
pool05-task019,TXT_2_IMG,72,26,30,1,0
pool05-task020,TXT_2_IMG,60,26,30,1,0
pool05-task021,TXT_2_IMG,4,26,30,1,0
pool05-task022,TXT_2_IMG,73,26,30,1,0
pool05-task023,TXT_2_IMG,44,26,30,1,0
pool05-task024,TXT_2_IMG,68,26,30,4,0
pool05-task025,TXT_2_IMG,53,26,30,4,0
pool05-task026,TXT_2_IMG,34,0,30,1,1
pool05-task027,TXT_2_IMG,60,26,30,4,0
pool05-task028,TXT_2_IMG,35,0,30,1,1
pool05-task029,TXT_2_IMG,62,26,30,4,0
pool05-task030,TXT_2_IMG,60,26,30,4,0
pool05-task031,TXT_2_IMG,54,26,30,4,0
pool05-task032,TXT_2_IMG,60,26,30,4,0
pool05-task033,TXT_2_IMG,60,26,30,4,0
pool05-task034,TXT_2_IMG,60,26,30,4,0
pool05-task035,TXT_2_IMG,63,26,30,4,0
pool05-task036,TXT_2_IMG,50,26,30,1,0
pool05-task037,IMG_2_IMG,51,26,30,4,0
pool05-task038,IMG_2_IMG,11,0,30,8,0
pool05-task039,IMG_2_IMG,187,26,30,1,0
pool05-task040,IMG_2_IMG,187,26,30,1,0
pool05-task041,IMG_2_IMG,187,26,30,1,0
pool05-task042,IMG_2_IMG,187,26,30,1,0
pool05-task043,IMG_2_IMG,187,26,30,1,0
pool05-task044,TXT_2_IMG,1288,26,30,1,0
pool05-task045,IMG_2_IMG,44,26,30,1,0
pool05-task046,IMG_2_IMG,44,26,30,1,0
pool05-task047,TXT_2_IMG,49,26,30,1,0
pool05-task048,TXT_2_IMG,62,26,30,1,0
pool05-task049,TXT_2_IMG,81,26,30,1,0
pool05-task050,TXT_2_IMG,54,26,30,1,0
pool05-task051,IMG_2_IMG,7,26,30,2,0
pool05-task052,IMG_2_IMG,4,26,30,2,0
pool05-task053,IMG_2_IMG,4,26,30,2,0
pool05-task054,TXT_2_IMG,8,26,30,1,0
pool05-task055,TXT_2_IMG,52,26,30,1,0
pool05-task056,TXT_2_IMG,63,26,30,1,0
pool05-task057,TXT_2_IMG,12,26,30,1,0
pool05-task058,TXT_2_IMG,65,0,30,1,1
pool05-task059,TXT_2_IMG,31,26,40,1,0
pool05-task060,TXT_2_IMG,6,26,40,8,0
pool05-task061,TXT_2_IMG,10,26,40,8,0
pool05-task062,INPAINTING,2,26,30,1,0
pool05-task063,INPAINTING,2,0,30,1,0
pool05-task064,TXT_2_IMG,32,0,30,8,1
pool05-task065,IMG_2_IMG,1,0,30,1,0
pool05-task066,IMG_2_IMG,1,0,30,1,0
pool05-task067,TXT_2_IMG,214,26,30,2,0
pool05-task068,IMG_2_IMG,1,0,30,1,0
pool05-task069,TXT_2_IMG,50,26,30,1,0
pool05-task070,IMG_2_IMG,1,0,30,1,0
pool05-task071,TXT_2_IMG,42,26,30,1,0
pool05-task072,TXT_2_IMG,47,26,30,1,0
pool05-task073,TXT_2_IMG,102,26,30,2,0
pool05-task074,TXT_2_IMG,52,26,30,2,0
pool05-task075,TXT_2_IMG,43,26,30,4,0
pool05-task076,TXT_2_IMG,78,26,30,1,0
pool05-task077,TXT_2_IMG,83,0,30,2,1
pool05-task078,TXT_2_IMG,35,0,30,1,1
pool05-task079,TXT_2_IMG,57,26,30,1,0
pool05-task080,TXT_2_IMG,80,0,30,1,1
pool05-task081,TXT_2_IMG,46,26,30,1,0
pool05-task082,TXT_2_IMG,9,26,40,1,0
pool05-task083,TXT_2_IMG,43,0,30,1,1
pool05-task084,TXT_2_IMG,49,26,30,1,0
pool05-task085,TXT_2_IMG,42,26,30,1,0
pool05-task086,TXT_2_IMG,43,26,30,4,0
pool05-task087,TXT_2_IMG,67,26,30,1,0
pool05-task088,TXT_2_IMG,2,0,30,1,0
pool05-task089,TXT_2_IMG,2,0,30,1,1
pool05-task090,IMG_2_IMG,10,26,30,1,0
pool05-task091,TXT_2_IMG,54,26,30,1,0
pool05-task092,TXT_2_IMG,16,0,30,8,1
pool05-task093,TXT_2_IMG,49,26,30,1,0
pool05-task094,TXT_2_IMG,52,26,30,4,0
pool05-task095,TXT_2_IMG,45,0,30,4,1
pool05-task096,TXT_2_IMG,6,0,30,1,1
pool05-task097,IMG_2_IMG,16,26,30,1,0
pool05-task098,IMG_2_IMG,16,26,30,1,1
pool05-task099,TXT_2_IMG,47,26,30,1,0
