gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid,compute_multiplier,memory_multiplier,semantic_class,warning,requested_model,resolved_model,latency_ms,prompt_tokens,completion_tokens,total_tokens,attempts,response_sha256,q_count,q_data,q_llm,vram_base_gb,vram_requirement_gb_simulated,vram_value_classification
2024-11-20 02:56:03,TXT_2_IMG,SUCCEED,10.0,G0221,60.0,26.0,1.0,30.0,M0010,0,1038,2024-11-20,1,12,pool01-task012,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,898.3195410110056,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.3930817610062893,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 03:05:04,TXT_2_IMG,SUCCEED,20.0,G0220,82.0,26.0,4.0,30.0,M0016,0,1046,2024-11-20,1,13,pool01-task013,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1196.5686669573188,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.7861635220125786,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 03:07:58,TXT_2_IMG,SUCCEED,20.0,G0222,62.0,26.0,1.0,30.0,M0000,0,1053,2024-11-20,1,14,pool01-task014,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,952.5080830790102,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.7861635220125786,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 03:08:25,TXT_2_IMG,SUCCEED,20.0,G0222,65.0,26.0,1.0,30.0,M0016,0,1054,2024-11-20,1,15,pool01-task015,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,896.024708985351,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.7861635220125786,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 03:09:06,TXT_2_IMG,SUCCEED,33.0,G0223,72.0,26.0,4.0,30.0,M0002,0,1057,2024-11-20,1,16,pool01-task016,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1002.9238329734652,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,1.2971698113207546,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 03:55:19,TXT_2_IMG,SUCCEED,21.0,G0224,65.0,26.0,8.0,30.0,M0010,0,1094,2024-11-20,1,17,pool01-task017,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1955.2576669957489,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.8254716981132075,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 05:07:18,IMG_2_IMG,SUCCEED,46.0,G0226,18.0,26.0,1.0,30.0,M0004,0,1102,2024-11-20,1,18,pool01-task018,1.5,1.5,IMG_2_IMG,No LoRA; moderate steps.,deepseek-chat,deepseek-v4-flash,955.324332928285,173,51,224,1,925b249efb366be7d894d78a4567dc8f5737184e2f57224dc2f798fc28583215,1.0,1.8081761006289307,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 08:44:55,TXT_2_IMG,SUCCEED,50.0,G0112,3.0,0.0,4.0,30.0,M0003,0,1112,2024-11-20,1,19,pool01-task019,2.0,1.5,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1220.3435419360176,174,52,226,1,18f134c215e42cae2448dc63935c1edeec087f665dedd6e54fdf3aa90981f6ce,1.0,1.9654088050314464,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 08:46:11,TXT_2_IMG,SUCCEED,34.0,G0112,2.0,0.0,4.0,30.0,M0001,0,1114,2024-11-20,1,20,pool01-task020,2.0,1.5,image_generation,Short prompt may reduce quality.,deepseek-chat,deepseek-v4-flash,1434.4848749460652,174,48,222,1,dfdf68773a34ba0dd9801606246b84409a4459e36e6e31abed14dd94e975bc27,1.0,1.3364779874213837,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 16:55:27,TXT_2_IMG,SUCCEED,49.0,G0125,34.0,0.0,8.0,30.0,M0001,1,1134,2024-11-20,1,21,pool01-task021,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1345.961416955106,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,1.9261006289308176,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:31:21,TXT_2_IMG,SUCCEED,24.0,G0239,61.0,26.0,8.0,30.0,M0010,0,1189,2024-11-20,1,22,pool01-task022,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1046.840374940075,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.9433962264150942,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:32:09,TXT_2_IMG,SUCCEED,21.0,G0239,57.0,26.0,8.0,30.0,M0010,0,1193,2024-11-20,1,23,pool01-task023,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1132.9165830975398,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.8254716981132075,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:33:00,TXT_2_IMG,SUCCEED,19.0,G0239,50.0,26.0,8.0,30.0,M0010,0,1196,2024-11-20,1,24,pool01-task024,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1084.7769159590823,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.7468553459119497,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:38:18,TXT_2_IMG,SUCCEED,16.0,G0256,52.0,26.0,1.0,30.0,M0002,0,1203,2024-11-20,1,25,pool01-task025,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,917.4022090155632,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c,1.0,0.6289308176100629,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:39:23,TXT_2_IMG,SUCCEED,47.0,G0235,13.0,0.0,4.0,30.0,M0003,1,1205,2024-11-20,1,26,pool01-task026,2.5,2.0,image_generation,High resource demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1263.233667006716,174,55,229,1,7096b5db4bc5c65db42f65552313a8ed3fb968f990708fb37f0ee8290868adc2,1.0,1.8474842767295596,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:53:07,IMG_2_IMG,SUCCEED,13.0,G0261,5.0,26.0,1.0,30.0,M0009,0,1219,2024-11-20,1,27,pool01-task027,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1175.7182909641415,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.511006289308176,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:54:09,IMG_2_IMG,SUCCEED,20.0,G0261,5.0,26.0,1.0,30.0,M0009,0,1223,2024-11-20,1,28,pool01-task028,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1320.7702080253512,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.7861635220125786,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 17:59:11,TXT_2_IMG,SUCCEED,25.0,G0220,56.0,26.0,8.0,30.0,M0016,0,1231,2024-11-20,1,29,pool01-task029,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1342.2649579588324,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.9827044025157232,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:00:03,INPAINTING,SUCCEED,15.0,G0261,14.0,26.0,4.0,30.0,M0009,0,1233,2024-11-20,1,30,pool01-task030,2.5,2.0,image_editing,Inpainting with 4 images and 30 steps is compute-heavy.,deepseek-chat,deepseek-v4-flash,985.052458010614,172,58,230,1,9b4d5e771729daecd932bc69fb2be6b7c1a8ae6d06035b89779cb4068b1a257d,1.0,0.5896226415094339,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:06:29,TXT_2_IMG,SUCCEED,23.0,G0264,82.0,26.0,8.0,30.0,M0033,0,1250,2024-11-20,1,31,pool01-task031,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1079.845792031847,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.9040880503144654,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:11:54,TXT_2_IMG,SUCCEED,16.0,G0266,52.0,26.0,8.0,30.0,M0032,0,1262,2024-11-20,1,32,pool01-task032,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1332.337958039716,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.6289308176100629,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:12:37,TXT_2_IMG,SUCCEED,18.0,G0269,34.0,26.0,1.0,30.0,M0016,0,1264,2024-11-20,1,33,pool01-task033,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1063.2932080188766,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895,1.0,0.7075471698113207,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:12:44,TXT_2_IMG,SUCCEED,23.0,G0266,52.0,26.0,8.0,30.0,M0032,0,1265,2024-11-20,1,34,pool01-task034,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1064.9480409920216,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.9040880503144654,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:24:57,TXT_2_IMG,SUCCEED,33.0,G0263,17.0,0.0,1.0,25.0,M0001,0,1303,2024-11-20,1,35,pool01-task035,1.5,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1064.3215420423076,174,48,222,1,3b460fb4e0edadfae6ef85b942605203ac608874823673792bf90324b12736cc,1.0,1.2971698113207546,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:27:21,IMG_2_IMG,SUCCEED,27.0,G0278,14.0,26.0,1.0,30.0,M0011,0,1308,2024-11-20,1,36,pool01-task036,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1077.7807920239866,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,1.0613207547169812,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:28:56,TXT_2_IMG,SUCCEED,16.0,G0280,58.0,26.0,8.0,30.0,M0006,0,1315,2024-11-20,1,37,pool01-task037,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1040.075583034195,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.6289308176100629,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:29:35,IMG_2_IMG,SUCCEED,19.0,G0144,10.0,26.0,1.0,30.0,M0004,0,1319,2024-11-20,1,38,pool01-task038,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1334.214458009228,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.7468553459119497,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:30:41,IMG_2_IMG,SUCCEED,19.0,G0278,34.0,26.0,1.0,30.0,M0004,0,1325,2024-11-20,1,39,pool01-task039,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1118.5175409773365,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.7468553459119497,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:31:33,IMG_2_IMG,SUCCEED,27.0,G0278,36.0,26.0,1.0,30.0,M0004,2,1330,2024-11-20,1,40,pool01-task040,2.5,2.0,image_editing,LoRA increases resource demand.,deepseek-chat,deepseek-v4-flash,1050.8245420642197,173,49,222,1,5ca9db9469f028e6e2c8effd1d78f63c4fdabec6f411f4e94faa0a6d86a811e8,1.0,1.0613207547169812,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:32:24,IMG_2_IMG,SUCCEED,33.0,G0278,34.0,26.0,1.0,30.0,M0011,0,1333,2024-11-20,1,41,pool01-task041,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1137.7676660194993,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,1.2971698113207546,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:33:23,IMG_2_IMG,SUCCEED,16.0,G0278,32.0,26.0,1.0,30.0,M0011,0,1337,2024-11-20,1,42,pool01-task042,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1144.0921659814194,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.6289308176100629,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:33:37,TXT_2_IMG,SUCCEED,20.0,G0282,50.0,26.0,1.0,30.0,M0000,0,1338,2024-11-20,1,43,pool01-task043,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,978.9487909292802,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.7861635220125786,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:34:43,TXT_2_IMG,SUCCEED,29.0,G0280,32.0,26.0,1.0,30.0,M0004,0,1341,2024-11-20,1,44,pool01-task044,1.5,1.2,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,945.3009590506554,174,48,222,1,89460b8f9f1e83c0741634b57b8cf754d68618d3247c8da9e8c127eb09a56e63,1.0,1.139937106918239,0.7281553398058253,0.1625,0.195,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:35:02,IMG_2_IMG,SUCCEED,13.0,G0144,36.0,26.0,1.0,30.0,M0004,0,1343,2024-11-20,1,45,pool01-task045,1.5,1.5,image_editing,IMG_2_IMG with 30 steps; moderate resource demand.,deepseek-chat,deepseek-v4-flash,1403.0774170532825,173,57,230,1,17c6264b39e76891ec0d4f12e93077ec59b0208f2d3d3bb2824d5008f8325ba4,1.0,0.511006289308176,0.7281553398058253,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:44:37,TXT_2_IMG,SUCCEED,24.0,G0095,65.0,0.0,1.0,30.0,M0031,0,1373,2024-11-20,1,46,pool01-task046,2.0,1.5,image_generation,Standard text-to-image task.,deepseek-chat,deepseek-v4-flash,1144.6268330328166,174,48,222,1,66069ac9400131202fff9f131eca45f035e5b87c99a75b401f68a5283c4b4895,1.0,0.9433962264150942,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:46:31,TXT_2_IMG,SUCCEED,18.0,G0264,89.0,26.0,8.0,30.0,M0021,0,1378,2024-11-20,1,47,pool01-task047,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1222.0884999260306,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.7075471698113207,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:46:37,TXT_2_IMG,SUCCEED,27.0,G0095,116.0,0.0,1.0,30.0,M0031,0,1379,2024-11-20,1,48,pool01-task048,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1101.413832977414,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,1.0613207547169812,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:47:38,TXT_2_IMG,SUCCEED,23.0,G0095,116.0,0.0,1.0,30.0,M0025,0,1382,2024-11-20,1,49,pool01-task049,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,892.8300420520827,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.9040880503144654,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:48:19,INPAINTING,SUCCEED,60.0,G0285,7.0,31.0,1.0,35.0,M0037,1,1384,2024-11-20,1,50,pool01-task050,2.5,2.0,INPAINTING,High step count increases compute demand.,deepseek-chat,deepseek-v4-flash,1071.3469580514356,172,50,222,1,ee960732cb2b15993cba8a1ae254328a9c8f8f89660be335e554779d882e3790,1.0,2.3584905660377355,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:48:29,TXT_2_IMG,SUCCEED,17.0,G0264,93.0,26.0,8.0,30.0,M0021,0,1385,2024-11-20,1,51,pool01-task051,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,1064.9499170249328,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.6682389937106918,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 18:55:10,TXT_2_IMG,SUCCEED,63.0,G0235,12.0,0.0,4.0,30.0,M0003,1,1404,2024-11-20,1,52,pool01-task052,2.0,1.5,image_generation,Moderate compute demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1209.1982089914382,174,56,230,1,513bf8d62f9d65e07c79ac621094acbe920d698f146b014f43f63fb189341f82,1.0,2.4764150943396226,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 19:01:07,TXT_2_IMG,SUCCEED,31.0,G0288,65.0,26.0,1.0,30.0,M0002,0,1420,2024-11-20,1,53,pool01-task053,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1028.9410839322954,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,1.2185534591194969,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 20:42:04,TXT_2_IMG,SUCCEED,15.0,G0292,42.0,26.0,1.0,30.0,M0000,0,1435,2024-11-20,1,54,pool01-task054,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1112.429750035517,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.5896226415094339,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 20:47:44,TXT_2_IMG,SUCCEED,22.0,G0293,46.0,26.0,1.0,30.0,M0012,0,1442,2024-11-20,1,55,pool01-task055,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1099.845292046666,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.8647798742138364,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
